drink_name,recipe,recipe_url,url_of_image
Hot Spiced Cranberry Cider,"['2 quarts apple cider ', '6 cups cranberry juice ', '¼ cup packed brown sugar ', '4  cinnamon sticks ', '1\u2009½ teaspoons whole cloves ', '1  lemon, thinly sliced ']",https://www.allrecipes.com/recipe/32555/hot-spiced-cranberry-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3955.jpg
Texas Hot Apple Cider,"['1 gallon apple cider ', '1 quart pineapple juice ', '1 pinch ground nutmeg, or more to taste ', '20  whole cloves ', '1  orange  ', '5  cinnamon sticks, or more to taste ']",https://www.allrecipes.com/recipe/231978/texas-hot-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1051070.jpg
Grandma's Wassail,"['2 gallons apple cider ', '2 cups fresh orange juice ', '1 cup lemon juice ', '1 cup pineapple juice ', '1 cup white sugar ', '1 teaspoon whole cloves ', '1  cinnamon stick, broken into pieces ']",https://www.allrecipes.com/recipe/230045/grandmas-wassail/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1871052.jpg
Christmas Wassail,"['½ gallon apple cider ', '1 (46 fluid ounce) can pineapple juice ', '46 fluid ounces cranberry juice cocktail ', '1  orange, thinly sliced ', '5  cinnamon sticks ', '1 tablespoon whole allspice berries ', '1 tablespoon whole cloves ']",https://www.allrecipes.com/recipe/233377/christmas-wassail/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1080368.jpg
Twisted Apple Cider,"['2 cups apple cider ', '½ cup spiced rum ', '¼ cup cinnamon schnapps ', '4 cubes  ice cubes ']",https://www.allrecipes.com/recipe/129018/twisted-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7770779.jpg
Hot Cinnamon Apple Brandy Cider,"['½ gallon fresh apple cider ', '1 cup apple brandy  (Optional)', '¼ cup brown sugar ', '1 tablespoon brown sugar ', '¼ cup honey ', '1 teaspoon ground cinnamon ', '¾ teaspoon ground ginger ', '½ teaspoon ground nutmeg ', '½ teaspoon ground cloves ', '½ teaspoon ground black pepper ', '1 pinch salt ', '10 thin strips orange zest ', '10 small cinnamon sticks ']",https://www.allrecipes.com/recipe/261475/hot-cinnamon-apple-brandy-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4129724.jpg
Hot Buttered Apple Cider,"['1 (16 ounce) bottle apple cider ', '½ cup pure maple syrup ', '½ cup butter, softened ', '½ teaspoon ground nutmeg ', '½ teaspoon ground allspice ']",https://www.allrecipes.com/recipe/23529/hot-buttered-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F279577.jpg
Spiked Fall Cider,"['2 cups apple cider ', '½ cup orange juice ', '¼ cup peach schnapps ', '¼ cup triple sec (orange-flavored liqueur) ', '1 pinch ground cinnamon ', '1 pinch ground nutmeg ']",https://www.allrecipes.com/recipe/128928/spiked-fall-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F723424.jpg
Spiced Orange Cider Mix,"['1 cup white sugar ', '1 cup orange flavored drink mix (such as Tang®) ', '½ cup instant tea powder ', '½ teaspoon ground cinnamon ', '½ teaspoon ground cloves ']",https://www.allrecipes.com/recipe/213212/spiced-orange-cider-mix/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F338662.jpg
Danny's Warm and Fuzzy Apple Cider,"['7 cups apple cider ', '⅓ cup brown sugar ', '4  cinnamon sticks ', '1 teaspoon whole allspice ', '1 teaspoon whole cloves ', '1 tablespoon lemon zest ', '1\u2009½ cups dark rum ', '½ cup butterscotch schnapps ']",https://www.allrecipes.com/recipe/162946/dannys-warm-and-fuzzy-apple-cider/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F613290.jpg
